Aikaleima,Artist,Song,Anime/TV show
,Yuu Kobayashi,Run Run Riru Ran Ran Rara ,Maria Holic
,Marina Inoue,Run Run Riru Ran Ran Rara Matsurika Version ,Maria Holic
,Rei Hamada,Egao ni Aitai ,Marmalade Boy
,Fujiwara Miho,Suteki na Serenade ,Marmalade Boy
,Wagakki Band,Seimei no Aria ,Mars Red
,Choucho,Authentic Symphony ,Mashiro-iro Symphony
,Creepy Nuts,Bling-Bang-Bang-Born,Mashle
,Shinichirou Miki,Believe in Heaven ,Matantei Loki Ragnarok
,White Bound,Rakuen no Tobira ,Matantei Loki Ragnarok
,Coaltar of the Deepers,Dear Future ,Mawaru Penguindrum
,TRIPLE-H,Haiiro no Suiyoubi ,Mawaru Penguindrum
,TRIPLE H,Ikarechimattaze! ,Mawaru Penguindrum
,Etsuko Yakushimaru,Nornir ,Mawaru Penguindrum
,Etsuko Yakushimaru,Shounen yo ware ni Kaere ,Mawaru Penguindrum
,TRIPLE H,Tamashii Kogashite ,Mawaru Penguindrum
,TRIPLE-H,Kuroi Yokan ,Mawaru Penguindrum 
,Kitamura Eri,Be Starters ,Mayo Chiki
,Ami Wajima,Gensou Drive ,Mayoiga
,Rina Katahira,Ketsuro ,Mayoiga
,Ichiro Mizuki,Mazinger Z ,Mazinger Z
,KENN,Tsuki Akari no Rhapsodia ,Meiji Tokyo Renka
,Jin feat. MARiA from GARNiDELiA,Daze ,Mekakucity Actors
,Jin feat LiSA,Headphone Actor ,Mekakucity Actors
,Barnabys,Mitsu ,Mezzo DSA
,Barnabys,Suki mami mai tai ,Mezzo DSA
,Yuu Serizawa,JUNGLE FIRE feat. MOTSU,MF Ghost
,Saori Atsumi,Mou sukoshi... Mou sukoshi... ,Midori no Hibi
,CooRie,Sentimental ,Midori no Hibi
,Sora Amamiya,Mienaikara ne! ,Mieruko-chan
,Mikakuning!,Masshiro World ,Mikakunin de Shinkoukei
,Mikakuning!,Tomadoi-Recipe ,Mikakunin de Shinkoukei
,Tsuzuri.zukuri,Country road,Mimi wo sumaseba
,FripSide,Pico Scope -SACLA- ,Mirai Koushi Harima SACLA
,Faylan,Blood Teller ,Mirai Nikki
,Faylan,Dead end ,Mirai Nikki
,Yousei Teikoku,filament ,Mirai Nikki
,Yousei Teikoku,Kuusou Mesorogiwi ,Mirai Nikki
,Yui Horie,Poker Face ,Miss Monochrome
,Ayana Taketatsu,Help-Hell Side ,MM!
,Natsuko Asou,More More Lovers ,MM!
,MOB CHOIR,99,Mob Psycho 100
,ALL OFF,Refrain Boy ,Mob Psycho 100
,"Yukari Tamura, Kaori Nazuka & Haruka Tomatsu",Mahou Shoujo Magical-tan! ,Moetan
,Iori Nomizu,Black + White ,Mondaiji–tachi ga Isekai kara Kuru Sou Desu yo?
,Kaori Sadohara,To Be Continued ,Mondaiji–tachi ga Isekai kara Kuru Sou Desu yo?
,Yui Horie,Chocolate Insomia ,Monogatari
,Emiri Kato,Happy Bite ,Monogatari
,Supercell,Kimi No Shiranai Monogatari ,Monogatari
,Chiwa Saito & Shinichiro Miki,Kogarashi Sentiment ,Monogatari
,ana Hanazawa,Mousou Express ,Monogatari
,"Miia, Papi, Centorea, Suu, Mero & Rachnea",Saikousoku Fall in Love ,Monster Musume
,Susumu Hirasawa,Yume no Shima Shinen Kouen ,Mousou Dairinin
,BACK-ON,Hikari Sasuhou ,Murder Princess
,Azusa Tadokoro,Junshin Always ,Musaigen no Phantom World
,SCREEN mode,Naked Dive ,Musaigen no Phantom World
,Free Da'M,DenshinìUnchained ,Mushibugyou
,i?Ris,Ichizu ,Mushibugyou
,ayami,Through All Eternity ~En no Kizuna~ ,Mushibugyou
,GaGaGa SP,Tomo yo ,Mushibugyou
,LONGMAN,Spiral,Mushoku Tensei: Isekai Ittara Honki Dasu
,Yuiko Ohara,Tabibito no Uta ,Mushoku Tensei: Isekai Ittara Honki Dasu
,Emiko Shiratori,Tooi Akogare ,Muumit
,Emiko Shiratori,Yume no Sekai e ,Muumit
,Kumi Koda,Go to the top ,Muv-Luv Alternative
,Schr”dinger's Cat adding Kotringo,Unknown World ,My roommate is a cat
,Itou Kanako,Kimi To Yozora To Sakamichi To ,Myself Yourself
,Kaori,Tears Infection ,Myself Yourself
,VELTPUNCH,Crawl ,Nabari no Ou
,ELISA,Hikari ,Nabari no Ou
,Takayuki Miyauchi,Nagareboshi Gin,Nagareboshi Gin
,Nagi Yanagi,Aqua Terrarium ,Nagi no Asukara 
,Ray,lull ~Soshite Bokura wa~ ,Nagi no Asukara 
,OLIVIA 'inspi REIRA ~TRAPNEST~,A little pain ,Nana
,ANNA 'inspi NANA ~BLACK STONES~,Kuroi namida ,Nana
,ANNA 'inspi NANA ~BLACK STONES~,Lucy ,Nana
,ANNA 'inspi NANA ~BLACK STONES~,Rose ,Nana
,ANNA 'inspi NANA ~BLACK STONES~,Stand by me ,Nana
,OLIVIA 'inspi REIRA ~TRAPNEST~,Wish ,Nana
,FLOW x GRANRODEO,7-seven- ,Nanatsu no Taizai
,MUCC,CLASSIC ,Nanatsu no Taizai
,MUCC,CLASSIC ,Nanatsu no Taizai
,Ikimono Gakari,Netsujou no Spectrum ,Nanatsu no Taizai
,Alisa Takigawa,Season ,Nanatsu no Taizai
,Man With A Mission,Seven Deadly Sins ,Nanatsu no Taizai
,FLOW,GO!!! ,Naruto
,RYTHEM,Harmonia ,Naruto
,Asian Kung-fu Generation,Haruka kanata ,Naruto
,The Mass Missile,Ima made nando mo ,Naruto
,Little by little,Kanashimi wo yasashisa ni ,Naruto
,Captain Straydum,Mountain A Go Go Two ,Naruto
,No Regret Life,Nakushita Kotoba ,Naruto
,Shinku Horou,Niji ,Naruto
,Stance Punks,"No boy, no cry ",Naruto
,Chaba,Parade ,Naruto
,Ore Ska Band,Pinocchio ,Naruto
,Hound Dog,Rocks ,Naruto
,TiA,Ryuusei ,Naruto
,Sambomaster,Seishun Kyousoukyoku ,Naruto
,Amadori,Soba ni Iru Kara ,Naruto
,Secret,"Twinkle, Twinkle ",Naruto
,Akeboshi,Wind ,Naruto
,Akeboshi,Yellow moon ,Naruto
,Hearts Grow,Yura yura ,Naruto
,Hearts Grows,Yura Yura ,Naruto
,Kuroneko Chelsea,Ao no Lullaby ,Naruto: Shippuuden
,Dev Parade,BACCHIKOI!!! ,Naruto: Shippuuden
,Akihisa Kondo,Black Night Town ,Naruto: Shippuuden
,Asian Kung-Fu Generation,Blood Circulator ,Naruto: Shippuuden
,Ikimono Gakari,Blue bird ,Naruto: Shippuuden
,NICO Touches the Walls,Broken Youth ,Naruto: Shippuuden
,Hemenway,By My Side ,Naruto: Shippuuden
,Unlimits,Cascade ,Naruto: Shippuuden
,Inoue Joe,CLOSER ,Naruto: Shippuuden
,LONG SHOT PARTY,Distance ,Naruto: Shippuuden
,NICO Touches the Walls,Diver ,Naruto: Shippuuden
,DISH,FLAME ,Naruto: Shippuuden
,AZU,For You ,Naruto: Shippuuden
,HOME MADE Kazoku,FREEDOM ,Naruto: Shippuuden
,DOES,Guren ,Naruto: Shippuuden
,Nobody Knows,Hero's Come Back ,Naruto: Shippuuden
,Ikimono Gakari,Hotaru no Hikari ,Naruto: Shippuuden
,DISH,I Can Hear ,Naruto: Shippuuden
,Anly,Kara no Kokoro ,Naruto: Shippuuden
,nly,Kara no Kokoro ,Naruto: Shippuuden
,Yamazaru,Kaze ,Naruto: Shippuuden
,Little by little,Kimi monogatari ,Naruto: Shippuuden
,Aisha Feat. Chenon,Kono Koe Karashite ,Naruto: Shippuuden
,sana,Kotoba no Iranai Yakusoku ,Naruto: Shippuuden
,Sukima Switch,LINE ,Naruto: Shippuuden
,HALCALI,Long Kiss Good Bye ,Naruto: Shippuuden
,7!!,Lovers ,Naruto: Shippuuden
,Aqua Timez,Mayonaka no Orchestra ,Naruto: Shippuuden
,MATCHY with QUESTION,Mezamero! Yasei ,Naruto: Shippuuden
,Alto,Michi ~to you all~ ,Naruto: Shippuuden
,Daisuke,Moshimo ,Naruto: Shippuuden
,MUCC,MOTHER ,Naruto: Shippuuden
,Home Made Kazoku,Nagareboshi ~Shooting Star~ ,Naruto: Shippuuden
,Tacica,Newsong ,Naruto: Shippuuden
,Flow,Niji no Sora ,Naruto: Shippuuden
,NICO Touches the Walls,Niwaka Ame Nimo Makezu ,Naruto: Shippuuden
,Kishidan,Omae dattanda ,Naruto: Shippuuden
,Huwie Ishizaki,Pino and Am‚lie ,Naruto: Shippuuden
,7!!,Sayonara Memory ,Naruto: Shippuuden
,Super Beaver,Shinkokyuu ,Naruto: Shippuuden
,Flow,Sign ,Naruto: Shippuuden
,KANA-BOON,Silhouette ,Naruto: Shippuuden
,Thinking Dogs,"Sonna Kimi, Konna Boku ",Naruto: Shippuuden
,Diana Garnet,Spinning World ,Naruto: Shippuuden
,Surface,Sunao na Niji ,Naruto: Shippuuden
,Ayumikurikamaki,Tabidachi no Uta ,Naruto: Shippuuden
,Motohiro Hata,Toumei Datta Sekai ,Naruto: Shippuuden
,KANIKAPILA,Trouble Maker ,Naruto: Shippuuden
,Nogizaka46,Tsuki no Ookisa ,Naruto: Shippuuden
,Domino,U Can do It ,Naruto: Shippuuden
,Supercell,Utakata Hanabi ,Naruto: Shippuuden
,OKAMOTO'S,Yokubou o Sakebe!!! ,Naruto: Shippuuden
,Rake,Yume wo Idaite ~Hajimari no Clis Road~ ,Naruto: Shippuuden
,Swimy,Zetsu Zetsu ,Naruto: Shippuuden
,Aimer,Akane Sasu ,Natsume Yuujinchou
,Aimer,Anata ni Deawanakereba ~Natsuyuki Fuyuhana~ ,Natsuyuki Rendezvous
,Yuya Matsushita,SEE YOU ,Natsuyuki Rendezvous
,Ayako Yoshitani,Koi no Orchestra ,Nazo No Kanojo X
,Kano,nameless ,Nejimaki Seirei Senki: Tenkyuou no Alderamin
,Ayano Tsuji,Kaze ni naru,Neko no Ongaeshi
,Yui Horie,perfect slumbers ,Nekomonogatari
,La Solei Catgirls,Shiny Happy Days,Nekopara
,La Soleil Catgirls,Shiny Happy Days,Nekopara
,Yoko Takahashi,Fly Me to the Moon,Neon Genesis Evangelion
,Yoko Takahashi,Zankoku na Tenshi no Te-ze ,Neon Genesis Evangelion
,Yuuka Aisaka,"Hikari, Hikari ",Netojuu no Susume
,Megumi Nakajima,Saturday Night Question ,Netojuu no Susume
,Fourfolium,Sakura Skip ,NEW GAME!
,Rumi Shishido,Fushigi Purupuru Pururin Rin! ,NHK ni Youkoso!
,Round Table featuring Nino,Puzzle ,NHK ni Youkoso!
,Hyadain,Hyadain no Joujou Yuujou ,Nichijou
,Hyadain,Hyadain's Kakakata Kataomoi-C ,Nichijou
,Sayaka Sasaki,Zzz ,Nichijou
,amazarashi,Antimony ,NieR: Automata
,LiSA,Black Box,NieR: Automata
,Aimer,Escalate ,NieR: Automata
,Under Graph,Kotoba ,Night Head Genesis
,BUCK-TICK,Gessekai ,Night Walker: Mayonaka no Tantei
,Chiaki Ishikawa,Like an angel ,Ningyo no Mori
,Nin-jazz,Shihou Happou Hijideppou ,Nintama Rantarou
,ClariS,CLICK ,Nisekoi
,ClariS,STEP ,Nisekoi
,Eri Kitamura,Marshmallow Justice ,Nisemonogatari
,Yuka Iguchi,Platinum Disco ,Nisemonogatari
,Ai Kayano,Oraci¢n ,No Game No Life
,Konomi Suzuki,This Game ,No Game No Life
,Kanako Itou,No Moral ,No Moral
,Aimer,Rokutosei no Yoru ,No.6
,Lama,Spell ,No.6
,STEREO DIVE FOUNDATION,Axis ,Nobunaga the Fool
,JAM Project,Breakthrough ,Nobunaga the Fool
,Minori Chihara,Fool The World ,Nobunaga the Fool
,Asuka,Ran ,Nobunaga the Fool
,Milan Himemiya,Chouhatsu Cherry Heart ,Nogizaka Haruka no Himitsu
,N's,Himitsu Suishou! Uruto Love ,Nogizaka Haruka no Himitsu
,Kana Ueda,Hitosashiyubi Quiet! ,Nogizaka Haruka no Himitsu
,Milan Himemiya,Tomadoi Bittertune ,Nogizaka Haruka no Himitsu
,Akino Arai,Kirei na Kanjou ,Noir
,nano.RIPE,Nanairo Biyori ,Non Non Biyori
,Hello Sleepwalkers,Goya no Machiawase ,Noragami
,Tia,Heart Realize ,Noragami
,THE ORAL CIGARETTES,Kyouran Hey Kids!! ,Noragami
,Tia,Nirvana,Noragami
,Nagi Yanagi,Kazakiri ,Norn9
,Kaori Oda,Zero Tokei ,Norn9: Norn+Nonet
,Katate SIZE,Departure ,Nurarihyon no Mago
,Katate SIZE,Orange Smile ,Nurarihyon no Mago
,Katate SIZE,Sparky Start ,Nurarihyon no Mago
,Katate SIZE,Symphonic Dream ,Nurarihyon no Mago
,Monkey Majik,Fast Forward ,Nuraruhyon no Mago
,Monkey Majik,Sunshine ,Nuraruhyon no Mago
,Kanae Itou,Happy New Nyaa ,Nyan Koi
,Yui Sakakibara,Nyanderful! ,Nyan Koi
,Asaka,Open your eyes ,Occultic;Nine
,Kanako Itou,Seisuu 3 no Jijyo ,Occultic;Nine
,Makino Mizuta,Hikari ,Oda Nobuna no Yabou
,Aimi,Link ,Oda Nobuna no Yabou
,MAHO-Do,DANCE! Ojamajo ,Ojamajo Doreim
,MAHO-Do,Na-I-Sho-Yo! Ojamajo ,Ojamajo Doreim
,MAHO-Do,Ojamajo Carnival!! ,Ojamajo Doreim
,MAHO-Do,Ojamajo de BAN2 ,Ojamajo Doreim
,MAHO-Do,Ojamajo wa Koko ni Iru ,Ojamajo Doreim
,May'n,Ready Go! ,Okami–san to Shichinin no Nakama–tachi
,Himarinko L. Shizukuesu,Beam My Beam ,Omamori Himari
,Ayaruka,Oshichau Zo ,Omamori Himari
,Folder5,Believe ,One Piece
,Mugiwara kaizoku,Binks no sake,One Piece
,Bon-Bon Blanco,Bon voyage! ,One Piece
,D-51,Brand new world ,One Piece
,Tackey & Tsubasa,Crazy Rainbow,One Piece
,TRIPLANE,Dear friends ,One Piece
,Ruppina,Faith ,One Piece
,Mugiwara kaizoku-dan,Family ,One Piece
,Namie Amuro,Fight Together ,One Piece
,Ruppina,Free will ,One Piece
,Kouta Shinzato,Hands Up! ,One Piece
,The Babystars,Hikari E ,One Piece
,5050,Jungle P ,One Piece
,Mari Yaguchi with Straw Hat,Kaze wo Sagashite ,One Piece
,BOYSTYLE,Kokoro no chizu ,One Piece
,Maki Otsuki,Memories ,One Piece
,The Rootless,One Day,One Piece
,Chilli Beans,Raise,One Piece
,Folder5,Ready! ,One Piece
,SEKAI NO OWARI,Saikou Toutatsuten,One Piece
,Tohoshinki,Share The World ,One Piece
,Janne da Arc,Shining ray ,One Piece
,Usopp,Sogeking ,One Piece
,Shela,Tsuki to taiyou ,One Piece
,AAA,Wake Up ,One Piece
,TOMATO CUBE,Watashi ga iru yo ,One Piece
20.8.2023 klo 13.18.36,Hiroshi Kitadani,We Are!,One Piece
,Mugiwara kaizoku-dan,We are! ,One Piece
,Tohoshinki,We Are! (Remix) ,One Piece
,Hiroshi Kitadani,We Go! ,One Piece
,Ado,I'm Invincible,One Piece: Film RED
,Ado,New Genesis,One Piece: Film RED
,JAM Project,THE HERO !! ~Okoreru Kobushi ni Hi wo Tsukero~ ,One Punch Man
,Hiroko Moriguchi,Hoshi Yori Saki ni Mitsukete Ageru ,One-Punch Man
,Kotoko,Shooting Star ,Onegai Teacher
,Kotoko,Second Flight ,Onegai Twins
,Yuuka Nanri,Tsukishirube ,Ookami Kakushi
,Oresama,Ookami Heart ,Ookami Shoujo to Kuro Ouji
,SpecialThanks,LOVE GOOD TIME ,Ookami Shoujo to Kuro Ouji 
,Akino Arai,Mitsu no Yoake ,Ookami to Koushinryou
,Rocky Chack,Perfect World ,Ookami to Koushinryou
,Rocky Chack,Ringo Biyori ~The Wolf Whistling Song ,Ookami to Koushinryou
,Natsumi Kiyoura,Tabi no Tochuu ,Ookami to Koushinryou
,FictionJunction,Toki no Mukou Maboroshi no Sora ,Ookamikakushi
,Yuu Takahashi,Hikari no Hahen ,Orange
,Kobukuro,Mirai ,Orange
,dol College,Ichizu Recipe ,Ore ga Ojousama Gakkou ni ”Shomin Sample”
,Idol College,Ichizu Recipe ,Ore ga Ojousama Gakkou ni ”Shomin Sample”
,TRUSTRICK,Miraikei Answer ,Ore Monogatari!!
,Claris,Irony ,Ore no Imouto ga Konnani Kawaii Wake ga Nai (Oreimo)
,Afilia Saga,SúMúL? ,"Ore no Nounai Sentakushi ga, Gakuen love Comedy wo Zenryoku de Jama Shiteiru"
,TWO-FORMULA,Taiyou to Tsuki no Cross ,"Ore no Nounai Sentakushi ga, Gakuen love Comedy wo Zenryoku de Jama Shiteiru"
,Nagi Yanagi,Harumodoki ,Oregairu
,Nagi Yanagi,Yukitoki ,Oregairu
,Sharan Q,Kimi wa Majutsushi ,Orphen
,Tanpopo,Last Kiss ,Orphen
,Kotono Mitsuishi,Nanda Kana ,Oruchuban Ebichu
,YOASOBI,Idol ,Oshi no Ko
,QUEEN BEE,Mephisto,Oshi no Ko
,AOP,Hanamaru Pippi wa Yoiko Dake ,Osomatsu-san
,AOP,Kunshi Ayauku mo Chikau yore ,Osomatsu-san
,AOP,Maboroshi Wink ,Osomatsu-san
,AOP,Zenryoku Batankyuu ,Osomatsu-san
,Kooji Tsujiya,Tatakae! Otaking ,Otaku no Video
26.7.2024 klo 7.20.39,angela,Andante ni Koi wo Shite!,Otome Gēmu no Hametsu Furagu Shika Nai Akuyaku Reijō ni Tensei Shiteshimatta…
,Shouta Aoi,give me love me,Otome Gēmu no Hametsu Furagu Shika Nai Akuyaku Reijō ni Tensei Shiteshimatta…
,Angela,Otome no Route wa Hitotsu janai! ,Otome Gēmu no Hametsu Furagu Shika Nai Akuyaku Reijō ni Tensei Shiteshimatta…
,Aimer,Atemonaku ,Ousama Ranking
,Vaundy,Hadaka no Yuusha,Ousama Ranking
,Yama,Oz ,Ousama Ranking
,Suzuko Mimori,Univer Page ,Outbreak Company
,OxT (Masayoshi Ooishi x Tom-H@ck),Clattanoia ,Overlord
,OxT,GO CRY GO ,Overlord
,OxT,HOLLOW HUNGER ,Overlord
,MYTH&ROID,HYDRA ,Overlord
,MYTH&ROID,L.L.L ,Overlord
,Mayu Maeshima,No Man's Dawn ,Overlord
,OxT,Silent Solitude ,Overlord
,MYTH&ROID,VORACITY ,Overlord
,Nagi Yanagi,Orarion ,Owari no Seraph
,SawanoHiroyuki[nZk] Yosh,scaPEGoat ,Owari no Seraph
,FripSide,Two souls -toward the truth- ,Owari no Seraph
,Kaori Mizuhashi,dark cherry mystery ,Owarimonogatari
,Kaori Mizuhashi,Decent Black ,Owarimonogatari
,Marina Inoue,mathemagics ,Owarimonogatari
,Alisa Takigawa,Sayonara no Yukue ,Owarimonogatari
,Emiri Katou,terminal terminal ,Owarimonogatari
,F.T. Island,Neverland ,Ozma
,Savage Genius,Maze ,Pandora Hearts
,FictionJunction,Parallel Hearts ,Pandora Hearts
,FictionJunction YUUKA,Parallel Hearts ,Pandora Hearts
,Peach Moon Academy Class 1-C,Kiiroi Vacances ,Pani Poni Dash
,Asami Sanada,Happy! Smile! Hello! ,Panyo Panyo Di Gi Charat
,Tommy february6,Lonely in Gorgeous ,Paradise Kiss
,QUEENDOM,Chiki Chiki Ban Ban ,Paripi Koumei
,"EIKO starring 96neko, Zhuge Kongming",Kibun joujou,Paripi Koumei
,CHAM,Ai no tenshi,Perfect Blue
,Shoji Meguro feat. Shihoko Hirata,Shadow Worlds,Persona 4 Golden
,Lyn,BREAK IN TO BREAK OUT,Persona 5 the Animation
,Lyn,Dark Sun,Persona 5 the Animation
,Hassy,Gekkou ,Phantom the Animation
,Kanako Itou,I myself am Hell ,Phantom the Animation
,Ali Project,Jigoku no Mon ,Phantom: Requiem for the Phantom
,KOKIA,Karma ,Phantom: Requiem for the Phantom
,Ali Project,Senritsu no Kodomotachi ,Phantom: Requiem for the Phantom
,KOKIA,Transparent ,Phantom: Requiem for the Phantom
,May'n,Brain Diver ,Phi Brain: Kami no Puzzle
,neko,Destiny ,Phi Brain: Kami no Puzzle
,Nano,Now or Never ,Phi Brain: Kami no Puzzle
,Miyuki Sawashiro,Chiisana Mahou ,Pita Ten
,Funta,Wake Up Angel ,Pita Ten
,Minami,One Unit ,Planet With
,Mai Fuchigami,Rainbow Planet ,Planet With
,Asami Imai,Asayake no Starmine ,Plastic Memories
,Eri Sasaki,Ring of Fortune ,Plastic Memories
,Joku,Johto,Pokemon
,Pokemon,Mezase Pokemon Master,Pokemon
28.8.2023 klo 11.51.34,Anssi Känsälä,Pokemon,Pokemon
,Marika Tuhkala feat. Petrus Kähkönen,Näytä! Tie Totuuden!,Pokémon Galactic Battles
,Sumire Uesaka,Pop Team Epic ,Pop Team Epic
,OxT,Strider's High ,Prince of Stride
,Hiro-X,Driving Myself ,Prince of Tennis
,Hiro-X,Future ,Prince of Tennis
,Masataka Fujishige,Keep Your Style ,Prince of Tennis
,Kimeru,You got Game ,Prince of Tennis
,Kangoku Danshi,Ai no Prison ,Prison School
,Kangoku Danshi,Tsumibukaki Oretachi no Sanka ,Prison School
,Ling Tosite Sigure,abnormalize ,Psycho-Pass
,Egoist,Fallen ,Psycho-Pass
,Egoist,Namae no nai Kaibutsu ,Psycho-Pass
,Nothing's Carved In Stone,Out of Control ,Psycho-Pass
,Ling Tosite Sigure,Enigmatic Feeling ,Psycho-Pass 2
,Egoist,All Alone With You ,Psycho-Pass 3
,C” shu Nie,bullet ,Psycho-Pass 3
,Who-ya Extended,Q-vism ,Psycho-Pass 3
,Sora Amamiya,Yakusoku no Kanata ,Punch Line
,GARNiDELiA,Hysteric Bullet ,Qiang Niang
,LiSA,AxxxiS ,Qualidea Code
,LiSA,Brave Freak Out ,Qualidea Code
,ClariS x GARNiDELiA,Clever ,Qualidea Code
,ClariS,Gravity ,Qualidea Code
,GARNiDELiA,Yakusoku -Promise Code- ,Qualidea Code
,Maimi Yamasaki,Alive ,Ragnarok: The Animation
,Maimi Yamasaki,We are the Stars ,Ragnarok: The Animation
,Maaya Sakamoto,Hemisphere ,RahXephon
,Ichiko & Mayumi Hashimoto,Yume no Tamago ,RahXephon
,Minori Chihara,Mukai Kaze ni Utarenagara ,Rail Wars
,ZAQ,Overdriver ,Rail Wars!
,Mikio Sakai,Identity ,Rakudai Kishi no Cavalry
,Ali Project,Haramitsu Renge ,Rakudai Kishi no Cavarly
,DoCo,Boku Tachi wa Kore Kara ,Ranma 1/2
,CoCo,Equal Romance ,Ranma 1/2
,Etsuko Nishio,Jajauma ni Sasenaide ,Ranma 1/2
,Yawmin,Koi da! Panikku ,Ranma 1/2
,Ranma 12 Operatic Troupe,Lambada Ranma ,Ranma 1/2
,CoCo,Omoide ga Ippai ,Ranma 1/2
,Kaori Sakagami,Platonic Tsuranuite ,Ranma 1/2
,Kappei Yamaguchi & Noriko Hidaka,Ranma to Akane no Ballad ,Ranma 1/2
,Sayuri,Mikazuki ,Ranpo Kitan: Game of Laplace
,amazarashi,Speed to Masatsu ,Ranpo Kitan: Game of Laplace
,Chihiro Yonekura,Butterfly Kiss ,Rave Master
,9mm Parabellum Bullet,Wanderland ,RD Sennou Chousashitsu
,Annabel,Small Worldrop ,RDG: Red Data Girl
,Masumi Itou,Yokan ,RDG: Red Data Girl
,livetune adding Takuro Sugawara,Sen no Tsubasa ,Re: Hamatora
,ayami,Brand New World ,Re:_Hamatora
,nonoc,Believe in you,Re:Zero
,Mayu Maeshima,Long shot,Re:Zero
,nonoc,Memento ,Re:Zero
,MYTH&ROID,Paradisus-Paradoxum ,Re:Zero
,Konomi Suzuki,Realize ,Re:Zero
,Konomi Suzuki,Redo ,Re:Zero
,Rie Takahashi,Stay Alive ,Re:Zero
,MYTH&ROID,STYX HELIX ,Re:Zero
,Kanako Sakai,Cheer! ~Makka na Kimochi~ ,Rec
,Shinichi Ishihara,Tatakae! Red Baron ,Red Baron
,Kakichoko,Kizuna ,Reikenzan: Hoshikuzu–tachi no Utage
,L'Arc~en~Ciel,HONEY ,ReLIFE
,Lisa Komine,Sora ni Saku ,Rental Magica
,Masami Okui,Rinbu revolution ,Revolutionary Girl Utena
,Runa Mizutani,Philosophyz ,Rewrite
,Runa Mizutani,Sasayaka na Hajimari ,Rewrite
,Younha feat. GOKU,Kioku ,RideBack
,Megumi Nakajima,TRY Unite! ,Rinne no Lagrange
,Isao Bitou,Ashita no Yukue ,Rival Schools
,Isao Bitou,Atsuki Kodou ,Rival Schools
,Rie Kugimiya,Honki Power no Dasshu! ,Rizelmine
,Ro-Kyu-Bu!,SHOOT! ,Ro-Kyu-Bu!
,HARUKI,Houkyou no Messiah ,Robotics;Notes
,Zwei,Junjou Spectra ,Robotics;Notes
,Itou Kanako,Topology ,Robotics;Notes
,MICHI,Secret Sky ,Rokka no Yuusha
,Konomi Suzuki,Blow out ,Rokudenashi Majutsu Koushi to Akashic Records
,12012,Cyclone ,Romeo x Juliet
,Mizrock,"Good bye, yesterday ",Romeo x Juliet
,Lena Park,Inori ~You Raise Me Up~ ,Romeo x Juliet
,Nana Mizuki,COSMIC LOVE ,Rosario + Vampire
,Nana Mizuki,Dancing In The Velvet Moon ,Rosario + Vampire
,Nana Mizuki,Discotheque ,Rosario + Vampire
,Nana Mizuki,Trinity Cross ,Rosario + Vampire
,Ali Project,Baragoku Otome ,Rozen Maiden
,kukui,Hikari no Rasenritsu ,Rozen Maiden
,Ali Project,Kinjirareta Asobi ,Rozen Maiden
,Ali Project,Seishoujo Ryouiki ,Rozen Maiden
,refio + Haruka Shimotsuki,Toumei Shelter ,Rozen Maiden
,kukui,Utsusemi no Kage ,Rozen Maiden
,Ali Project,Watashi no Bara wo Haminasai ,Rozen Maiden
,Ami Sakaguchi,LION ,Runway de Waratte
,Siam Shade,1.3 no junjou na kanjou ,Rurouni Kenshin
,Siam Shade,13 no junjou na kanjou ,Rurouni Kenshin
,You Izumi,Dame! ,Rurouni Kenshin
,T.M.Revolution,Heart of Sword ,Rurouni Kenshin
,Bonnie Pink,It's Gonna Rain ,Rurouni Kenshin
,Curio,Kimi ni fureru dake de ,Rurouni Kenshin
,Suzukaze Mayo,Namida Wa Shitte Iru ,Rurouni Kenshin
,Mayo Suzukaze,Namida wa Shitteiru ,Rurouni Kenshin
,Kawamoto Makoto,One Half ,Rurouni Kenshin
,Judy And Mary,Sobakasu ,Rurouni Kenshin
,The Yellow Monkey,Tactics ,Rurouni Kenshin
,L'Arc~en~Ciel,The Fourth Avenue Cafe ,Rurouni Kenshin
,SEGA,24 Hour Cinderella,Ryuu ga Gotoku (Yakuza)
,SEGA,Asura Komachi,Ryuu ga Gotoku (Yakuza)
,Shun Akiyama,Baka Mitai,Ryuu ga Gotoku (Yakuza)
,SEGA,Baka Mitai (Akiyama),Ryuu ga Gotoku (Yakuza)
,SEGA,Baka Mitai -Bakumatsu Edition-,Ryuu ga Gotoku (Yakuza)
,Shonan no Kaze & Yasutaka Nakata,ICHIBANKA,Ryuu ga Gotoku (Yakuza)
,SEGA,Iji Sakura,Ryuu ga Gotoku (Yakuza)
,SEGA,JUDGEMENT-shinpan,Ryuu ga Gotoku (Yakuza)
,SEGA,Kamurocho Lullaby,Ryuu ga Gotoku (Yakuza)
,SEGA,Koi no Disco Queen,Ryuu ga Gotoku (Yakuza)
,SEGA,Kokyou ni Nishiki o Kazaru Beshi,Ryuu ga Gotoku (Yakuza)
,SEGA,Loneliness loop,Ryuu ga Gotoku (Yakuza)
,SEGA,Machine Gun Kiss (Kiryu),Ryuu ga Gotoku (Yakuza)
,SEGA,Majima Construction Anthem,Ryuu ga Gotoku (Yakuza)
,SEGA,Majima no MajiROCK,Ryuu ga Gotoku (Yakuza)
,SEGA,Pure Love in Kamurocho (Akiyama & Hana),Ryuu ga Gotoku (Yakuza)
